Organisme	démarches	dossiers
Direction des relations avec les collectivités locales - Bureau des finances locales	2	390
Bureau des finances locales et des dotations de l'Etat	1	389
Bureau de l'appui territorial	1	384
Urssaf Alsace	4	382
DEETS 974	1	376
DDPP Maine et Loire	2	375
Préfecture de la Meuse	1	373
Ministère de la Transition Ecologique et Cohésion des Territoires	1	373
Direction de l'énergie et du climat, Ministère de la transition écologique	1	366
URSSAF DE PICARDIE 	6	366
Préfecture de la Vienne	1	364
Direction de la Citoyenneté et de la légalité	1	364
Direction départementale des territoires et de la mer des Côtes-d'Armor	1	364
Service économie agricole 	6	364
Préfecture du Loiret	1	363
Préfecture de l'Yonne	2	363
Préfecture des Pyrénées-Orientales	3	362
DDPP du Morbihan	1	356
Direction de la coordination interministérielle et de l'ingénierie territoriale	1	355
Préfecture de Saône-et-Loire	1	354
Préfecture de la Haute-Vienne	1	354
Préfecture du Cantal	3	353
Agence Innovation Défense	3	350
Préfecture des Côtes-d'Armor	1	342
Urssaf Aquitaine	5	341
DGCS Service des droits des femmes et de l'Egalité entre les femmes et les hommes	3	338
Préfecture du Gers, Ministère de l'Intérieur et des Outre-Mer	1	337
Préfecture du Pas de Calais, Conseil Départemental du Pas-de Calais, Conseil Régional Hauts de France, MSA	1	337
Préfecture du Tarn	1	337
DRAAF Occitanie	17	336
DDPP du Finistère	3	335
Préfecture de l'Isère	1	334
SERVICE ENVIRONNEMENT, EAU ET PRESERVATION DES RESSOURCES 	3	333
CAF DU HAUT-RHIN	7	331
Département "Accompagnement des Professionnels de Santé" (DAPS)	2	329
Préfecture des Landes	1	328
DGCL	2	328
Programme France Très Haut Débit	2	325
ARS Île-de-France, Ministère de la Santé et de la Prévention	3	325
CAPH	6	325
Préfecture d'Indre et Loire	1	324
Caisse des dépôts et consignations	1	323
Préfecture de la Haute-Saône, Ministère de l'intérieur 	1	321
Préfecture de la Loire-Atlantique, ministère de l'intérieur	1	318
Préfecture des Pyrénées-Atlantiques	1	316
Préfécture de Loir-et-Cher	1	315
Direction Départementale des Territoires du Tarn	3	315
Préfecture du Nièvre	1	314
ANCT, Ministère de la Transition Ecologique et de la Cohésion des territoires.	1	312
Préfecture de l'Orne, Ministère de l'Intérieur	2	311
Préfecture de l'Ain - Direction des Collectivités et de l'Appui Territorial	1	310
Préfecture du Gard	5	309
Service des solidarités, Pôle Cohésion sociale formation certification, Direction régionale de l’économie de l’emploi du travail et des solidarités d'Occitanie, SGAR, ministère de l'intérieur	3	309
Sous-direction de l'enfance et de la famille, Bureau de la protection de l'enfance et de l'adolescence	8	309
Bureau du Soutien à l'Investissement Territorial	1	308
Préfecture de Maine-et-Loire	3	306
Préfecture de l'Indre	1	305
Bpifrance	6	305
Sous-préfecture de Altkirch	1	300
Département de la Seine-Saint-Denis	3	297
Conseil Départemental de Seine-Saint-Denis	3	294
Direction Départementale des Territoires de la Loire	6	290
SIAO62	1	288
DRAFPIC - Direction régionale académique de la formation professionnelle initiale et continue Région académique Provence-Alpes-Côte d'Azur	4	287
Conseil Départemental de la Vendée	1	286
Office national des forêts	1	284
Agence Française pour la Biodiversité	1	283
Direction des Sécurités - bureau de l'ordre public	6	283
Préfecture du Var	3	282
PREFECTURE DES YVELINES - DRCT	1	280
Direction départementale des territoires de la Marne	1	280
SDSF / SCHEMA STRATEGIQUE MARTINIQUAIS DES SERVICES AUX FAMILLES	2	279
Préfecture des Vosges	1	278
Secrétariat général de région académique, rectorat de la région académique Provence-Alpes-Côte d'Azur, ministère de l'éducation nationale / DREETS PACA, DGEFP, ministère du travail	1	275
Comité économique des produits de santé	3	275
DSDEN de la Moselle	2	273
DREETS Occitanie	3	273
Ministère de la transition énergétique	1	272
URSSAF, CPAM, CAF, CARSAT	5	270
DDETSPP des Hautes-Pyrénées	2	269
Préfecture de la Lozère	2	269
préfecture des Alpes-de-Haute-Provence	1	267
SERVICE AGRICULTURE ET FORET	1	265
Conseil départemental du Pas de Calais 	3	265
Direction Départementale des Territoires et de la Mer des Bouches du Rhône	3	264
dreets Occitanie, Préfecture de région, ministère des solidarités 	4	264
Direction régionale de l'économie, de l'emploi du travail et des solidarités	5	263
Sous-Préfecture d'Aubusson	1	259
Conseil Départemental des Yvelines 	10	259
Préfecture de Lot-et-Garonne	1	258
DREAL des Pays de la Loire	2	255
DGEFP	11	254
Agence Régionale de Santé de Nouvelle-Aquitaine	2	253
préfecture du Cher 	1	250
TU/MDTI	1	246
Département du Nord	1	244
Service Agriculture et Développement Rural	2	244
DRAJES - pôle sport 	2	243
Direction départementale des territoires et de la mer du Gard	1	240
DREAL, Service Biodiversité Eau Patrimoine	3	238
Direction Départementale des Territoires de l'Allier	2	237
